hotel_name,booking_status,room_type,total_guests,amenities,total_nights,price_per_night,total_amount,payment_method,check_in_date,check_out_date,rating
Grand Hyatt Manila,confirmed,single,7,gym,3,4911.89,29258.63,cash,1/27/2025,1/13/2025,1
Okada Manila,pending,single,6,pool,4,1609.34,5321.04,cash,1/7/2025,1/14/2025,2
Grand Hyatt Manila,confirmed,double,9,spa,2,3660.43,20394.83,online transfer,1/3/2025,1/30/2025,4
Okada Manila,pending,suite,9,spa,6,2918.75,19216.22,credit card,2/17/2025,2/1/2025,4
Grand Hyatt Manila,pending,single,8,pool,5,2303.46,3719.9,credit card,1/10/2025,2/12/2025,3
Grand Hyatt Manila,cancelled,suite,3,spa,2,2547.12,12175.39,cash,1/1/2025,2/17/2025,1
The Manila Hotel,pending,single,3,pool,6,2875.07,11993.43,credit card,2/8/2025,2/16/2025,1
Grand Hyatt Manila,pending,double,5,spa,4,1829.64,15687.63,credit card,1/14/2025,1/27/2025,3
Grand Hyatt Manila,cancelled,single,4,spa,6,4592.98,15588.96,cash,1/17/2025,1/30/2025,1
Okada Manila,cancelled,double,8,pool,5,1579.95,22636.18,cash,2/17/2025,1/8/2025,4
The Manila Hotel,cancelled,single,10,spa,1,4112.41,7838.16,credit card,1/8/2025,2/16/2025,1
The Manila Hotel,pending,suite,1,spa,8,4104.38,3784.47,online transfer,1/4/2025,1/26/2025,5
Grand Hyatt Manila,cancelled,single,2,spa,3,3480.68,29069.34,credit card,1/18/2025,1/29/2025,5
Grand Hyatt Manila,pending,suite,7,spa,4,4889.59,20466.7,credit card,1/9/2025,1/11/2025,1
The Manila Hotel,confirmed,suite,3,spa,9,2955.81,22418.69,credit card,1/27/2025,1/1/2025,3
The Manila Hotel,cancelled,suite,10,gym,2,3690.93,6633.02,online transfer,2/18/2025,1/12/2025,3
The Manila Hotel,cancelled,single,1,gym,2,3054.42,13286.36,online transfer,1/20/2025,2/16/2025,3
The Peninsula Manila,confirmed,single,6,gym,10,2420.22,6650.49,online transfer,1/17/2025,1/5/2025,4
Okada Manila,pending,suite,2,gym,4,4809.15,5173.22,credit card,1/21/2025,2/6/2025,1
The Peninsula Manila,pending,double,10,spa,8,3535.77,9200.96,online transfer,1/17/2025,2/5/2025,2
The Manila Hotel,cancelled,single,2,spa,5,3196.36,23664.42,online transfer,2/2/2025,1/8/2025,1
The Peninsula Manila,cancelled,single,2,pool,7,3007.82,28806.68,credit card,1/31/2025,2/10/2025,1
The Manila Hotel,cancelled,suite,4,gym,10,3749.87,19486.33,cash,1/11/2025,1/2/2025,5
The Peninsula Manila,cancelled,single,8,spa,4,4642.98,3151.9,online transfer,1/21/2025,2/9/2025,4
The Manila Hotel,confirmed,suite,6,spa,10,1886.67,26585.29,online transfer,2/4/2025,1/2/2025,1
The Peninsula Manila,pending,single,8,spa,9,3502.4,27494.83,cash,2/16/2025,1/10/2025,1
The Manila Hotel,cancelled,suite,5,pool,8,2041.88,25700.44,cash,2/7/2025,1/24/2025,5
The Manila Hotel,confirmed,single,10,pool,10,2534.2,9211.86,cash,2/5/2025,1/17/2025,2
The Peninsula Manila,cancelled,double,6,gym,8,3523.91,9853.99,cash,1/15/2025,2/7/2025,2
The Peninsula Manila,pending,suite,8,spa,2,2550.71,17904.55,online transfer,1/28/2025,1/28/2025,4
Grand Hyatt Manila,confirmed,suite,10,spa,5,3417.14,24409.29,cash,2/12/2025,2/10/2025,5
The Manila Hotel,pending,suite,8,pool,4,1528.48,3459.35,cash,2/14/2025,2/13/2025,2
Grand Hyatt Manila,confirmed,suite,8,pool,3,3732.84,23835.17,credit card,2/17/2025,2/6/2025,3
Okada Manila,cancelled,suite,5,pool,9,3168.78,4016.17,online transfer,1/7/2025,1/10/2025,2
The Peninsula Manila,pending,single,8,gym,3,3940.93,21012.79,online transfer,2/9/2025,2/11/2025,2
Grand Hyatt Manila,confirmed,single,8,pool,6,3526.54,12311.71,online transfer,1/27/2025,1/27/2025,4
Okada Manila,pending,double,9,gym,10,3031.66,24988.84,credit card,2/13/2025,2/5/2025,3
Okada Manila,pending,single,2,pool,7,3023.5,26055.52,cash,1/29/2025,2/9/2025,1
Grand Hyatt Manila,confirmed,double,10,pool,10,2070.99,15652.28,online transfer,1/1/2025,2/14/2025,2
Grand Hyatt Manila,pending,single,5,pool,2,2796.83,1518.55,credit card,1/5/2025,1/14/2025,5
Okada Manila,cancelled,suite,7,spa,9,3317.61,28340.09,credit card,2/1/2025,1/28/2025,3
The Peninsula Manila,pending,double,2,gym,1,1590.29,28087.45,cash,1/10/2025,2/2/2025,3
The Peninsula Manila,cancelled,suite,5,gym,6,2076.47,29801.47,cash,1/5/2025,1/22/2025,2
