Transaction_Date,Total_Disbursed_PHP
2024-01-01,84231.74
2024-01-02,79409.86
2024-01-03,85955.27
2024-01-04,93215.57
2024-01-05,79415.36
2024-01-06,79672.38
2024-01-07,94435.6
2024-01-08,88197.26
2024-01-09,78557.27
2024-01-10,86908.14
2024-01-11,79114.15
2024-01-12,79348.65
2024-01-13,85262.28
2024-01-14,68271.45
2024-01-15,70028.39
2024-01-16,79578.35
2024-01-17,76221.71
2024-01-18,87084.77
2024-01-19,77551.67
2024-01-20,73761.09
2024-01-21,97026.86
2024-01-22,83736.04
2024-01-23,86321.43
2024-01-24,74620.45
2024-01-25,81898.83
2024-01-26,87374.87
2024-01-27,77511.23
2024-01-28,89954.45
2024-01-29,82371.4
2024-01-30,85068.47
2024-01-31,82811.69
2024-02-01,102664.64
2024-02-02,87957.18
2024-02-03,79819.83
2024-02-04,95075.79
2024-02-05,78940.07
2024-02-06,90586.55
2024-02-07,73444.46
2024-02-08,78699.81
2024-02-09,91100.91
2024-02-10,95631.66
2024-02-11,91289.9
2024-02-12,89185.86
2024-02-13,87891.31
2024-02-14,78658.01
2024-02-15,84910.38
2024-02-16,87163.82
2024-02-17,99482.48
2024-02-18,93947.77
2024-02-19,77264.5
2024-02-20,94128.13
2024-02-21,88618.03
2024-02-22,86443.07
2024-02-23,96908.12
2024-02-24,100415.4
2024-02-25,99766.74
2024-02-26,85748.22
2024-02-27,90130.02
2024-02-28,95391.86
2024-02-29,100680.38
2024-03-01,89173.08
2024-03-02,91647.81
2024-03-03,84405.13
2024-03-04,83804.95
2024-03-05,99989.65
2024-03-06,104450.21
2024-03-07,93131.03
2024-03-08,101838.15
2024-03-09,96801.65
2024-03-10,88842.17
2024-03-11,96984.71
2024-03-12,106484.09
2024-03-13,93975.25
2024-03-14,106856.84
2024-03-15,73455.32
2024-03-16,101057.83
2024-03-17,95244.02
2024-03-18,92216.32
2024-03-19,95398.88
2024-03-20,78816.32
2024-03-21,93007.21
2024-03-22,97664.84
2024-03-23,106670.06
2024-03-24,90735.32
2024-03-25,88443.7
2024-03-26,90923.35
2024-03-27,102281.96
2024-03-28,97605.66
2024-03-29,90750.05
2024-03-30,99102.32
2024-03-31,95776.4
2024-04-01,102748.11
2024-04-02,89377.26
2024-04-03,92362.68
2024-04-04,91832.97
2024-04-05,83243.14
2024-04-06,97297.23
2024-04-07,96989.29
2024-04-08,94909.94
2024-04-09,92956.11
2024-04-10,83469.23
2024-04-11,91382.04
2024-04-12,91956.14
2024-04-13,88225.93
2024-04-14,93295.83
2024-04-15,97756.17
2024-04-16,109546.6
2024-04-17,95782.81
2024-04-18,96371.4
2024-04-19,93636.01
2024-04-20,78797.78
2024-04-21,93848.02
2024-04-22,94449.99
2024-04-23,113577.98
2024-04-24,92232.93
2024-04-25,96079.91
2024-04-26,93281.5
2024-04-27,84097.42
2024-04-28,102473.1
2024-04-29,99225.71
2024-04-30,99414.32
2024-05-01,85682.91
2024-05-02,104048.47
2024-05-03,81475.62
2024-05-04,97245.85
2024-05-05,109931.49
2024-05-06,84336.72
2024-05-07,87580.18
2024-05-08,92753.73
2024-05-09,87771.14
2024-05-10,79232.57
2024-05-11,92021.87
2024-05-12,82807.04
2024-05-13,94922.95
2024-05-14,83604.27
2024-05-15,103181.35
2024-05-16,84334.87
2024-05-17,87840.29
2024-05-18,96737.72
2024-05-19,80192.44
2024-05-20,91665.84
2024-05-21,100107.19
2024-05-22,76591.22
2024-05-23,90726.39
2024-05-24,91123.88
2024-05-25,95092.22
2024-05-26,78732.24
2024-05-27,77851.85
2024-05-28,92376.2
2024-05-29,90359.28
2024-05-30,89767.73
2024-05-31,90313.45
2024-06-01,81877.51
2024-06-02,88949.42
2024-06-03,89207.55
2024-06-04,80917.71
2024-06-05,101326.31
2024-06-06,89956.47
2024-06-07,76399.25
2024-06-08,90944.22
2024-06-09,77654.77
2024-06-10,91507.72
2024-06-11,94237.08
2024-06-12,78158.67
2024-06-13,92185.54
2024-06-14,87533.86
2024-06-15,90559.93
2024-06-16,98908.44
2024-06-17,81520.54
2024-06-18,77202.27
2024-06-19,75863.6
2024-06-20,76199.91
2024-06-21,81855.45
2024-06-22,84946.62
2024-06-23,84175.42
2024-06-24,88323.26
2024-06-25,81553.21
2024-06-26,92820.43
2024-06-27,78817.52
2024-06-28,102438.47
2024-06-29,85424.59
2024-06-30,73304.01
2024-07-01,71336.1
2024-07-02,83505.01
2024-07-03,77599.63
2024-07-04,84841.62
2024-07-05,82658.06
2024-07-06,78032.4
2024-07-07,71583.96
2024-07-08,65983.3
2024-07-09,74274.29
2024-07-10,84442.57
2024-07-11,79049.81
2024-07-12,67117.62
2024-07-13,78216.31
2024-07-14,79661.67
2024-07-15,69257.56
2024-07-16,77308.58
2024-07-17,76295.98
2024-07-18,66439.31
2024-07-19,78199.44
2024-07-20,79578.87
2024-07-21,83513.91
2024-07-22,83038.34
2024-07-23,63346.59
2024-07-24,66627.03
2024-07-25,78013.34
2024-07-26,77768.58
2024-07-27,77545.78
2024-07-28,104016.31
2024-07-29,77532.65
2024-07-30,81823.2
2024-07-31,80145.99
2024-08-01,77502.61
2024-08-02,69549.13
2024-08-03,77925.18
2024-08-04,65455.37
2024-08-05,69530.45
2024-08-06,67331.66
2024-08-07,71661.72
2024-08-08,89318.82
2024-08-09,55660.98
2024-08-10,75889.51
2024-08-11,57300.87
2024-08-12,66233.21
2024-08-13,78529.3
2024-08-14,70143.97
2024-08-15,60822.88
2024-08-16,63540.64
2024-08-17,74521.26
2024-08-18,63066.18
2024-08-19,70468.7
2024-08-20,68932.86
2024-08-21,63190.12
2024-08-22,85392.55
2024-08-23,73153.89
2024-08-24,51726.47
2024-08-25,69267.89
2024-08-26,62334.23
2024-08-27,74303.91
2024-08-28,61003.91
2024-08-29,66289.56
2024-08-30,71114.51
2024-08-31,73871.63
2024-09-01,57218.07
2024-09-02,64023.17
2024-09-03,62782.3
2024-09-04,61241.89
2024-09-05,80482.81
2024-09-06,69493.72
2024-09-07,56065.56
2024-09-08,73398.39
2024-09-09,82939.73
2024-09-10,74133.34
2024-09-11,53633.98
2024-09-12,61834.59
2024-09-13,75767.5
2024-09-14,59898.86
2024-09-15,69043.05
2024-09-16,71626.14
2024-09-17,57954.51
2024-09-18,64838.96
2024-09-19,39334.59
2024-09-20,57023.54
2024-09-21,63156.39
2024-09-22,55157.35
2024-09-23,78165.98
2024-09-24,53637.04
2024-09-25,61533.72
2024-09-26,66080.32
2024-09-27,76549.33
2024-09-28,53521.43
2024-09-29,74307.26
2024-09-30,65081.87
2024-10-01,57150.44
2024-10-02,68706.27
2024-10-03,66613.29
2024-10-04,60234.88
2024-10-05,65615.26
2024-10-06,61998.99
2024-10-07,66018.71
2024-10-08,70441.09
2024-10-09,77870.04
2024-10-10,55321.64
2024-10-11,82335.06
2024-10-12,49705.08
2024-10-13,64162.83
2024-10-14,70143.3
2024-10-15,67748.66
2024-10-16,60587.39
2024-10-17,63976.54
2024-10-18,61774.28
2024-10-19,61084.37
2024-10-20,72681.31
2024-10-21,68830.0
2024-10-22,60524.13
2024-10-23,73361.86
2024-10-24,68725.21
2024-10-25,72875.52
2024-10-26,71519.5
2024-10-27,59964.35
2024-10-28,62232.68
2024-10-29,72814.22
2024-10-30,71844.47
2024-10-31,66923.79
2024-11-01,68162.94
2024-11-02,77582.74
2024-11-03,62769.68
2024-11-04,72023.57
2024-11-05,66177.44
2024-11-06,66205.34
2024-11-07,76892.37
2024-11-08,74864.38
2024-11-09,74931.49
2024-11-10,79033.03
2024-11-11,68926.4
2024-11-12,74386.48
2024-11-13,66624.49
2024-11-14,71878.95
2024-11-15,68426.64
2024-11-16,70429.03
2024-11-17,74602.66
2024-11-18,63486.98
2024-11-19,86966.14
2024-11-20,62376.09
2024-11-21,60910.75
2024-11-22,80091.94
2024-11-23,77365.86
2024-11-24,76233.69
2024-11-25,76478.25
2024-11-26,71566.8
2024-11-27,64702.49
2024-11-28,72705.12
2024-11-29,66901.88
2024-11-30,80342.9
2024-12-01,91590.45
2024-12-02,86390.05
2024-12-03,90652.13
2024-12-04,96757.86
2024-12-05,89177.74
2024-12-06,87344.77
2024-12-07,96108.83
2024-12-08,96357.58
2024-12-09,90582.49
2024-12-10,91111.5
2024-12-11,96979.49
2024-12-12,83783.14
2024-12-13,84354.2
2024-12-14,90113.75
2024-12-15,94402.35
2024-12-16,98846.96
2024-12-17,108413.4
2024-12-18,103723.67
2024-12-19,95835.67
2024-12-20,97216.68
2024-12-21,89602.99
2024-12-22,97730.23
2024-12-23,95824.81
2024-12-24,100972.13
2024-12-25,92029.3
2024-12-26,103059.09
2024-12-27,111423.73
2024-12-28,98549.48
2024-12-29,102891.17
2024-12-30,105456.64
2024-12-31,96983.76
2025-01-01,82050.76
2025-01-02,80616.71
2025-01-03,81555.17
2025-01-04,74847.25
2025-01-05,81484.67
2025-01-06,85529.46
2025-01-07,93411.04
2025-01-08,89731.95
2025-01-09,99538.52
2025-01-10,76428.88
2025-01-11,89800.06
2025-01-12,84541.23
2025-01-13,100845.01
2025-01-14,77111.3
2025-01-15,77109.96
2025-01-16,79281.51
2025-01-17,67333.19
2025-01-18,80364.75
2025-01-19,78742.8
2025-01-20,86262.67
2025-01-21,88035.72
2025-01-22,100551.62
2025-01-23,93384.59
2025-01-24,81403.21
2025-01-25,79066.57
2025-01-26,90422.84
2025-01-27,76157.31
2025-01-28,101600.54
2025-01-29,96612.03
2025-01-30,83648.62
2025-01-31,73920.27
2025-02-01,98677.39
2025-02-02,87148.84
2025-02-03,98184.05
2025-02-04,75740.01
2025-02-05,83911.82
2025-02-06,88957.59
2025-02-07,89497.67
2025-02-08,85724.78
2025-02-09,94508.82
2025-02-10,81182.96
2025-02-11,88779.92
2025-02-12,91073.41
2025-02-13,94415.65
2025-02-14,96179.11
2025-02-15,81672.0
2025-02-16,78576.01
2025-02-17,101246.92
2025-02-18,93857.33
2025-02-19,85380.93
2025-02-20,103944.68
2025-02-21,92624.08
2025-02-22,101292.83
2025-02-23,92554.85
2025-02-24,108653.39
2025-02-25,106359.23
2025-02-26,90470.24
2025-02-27,100376.29
2025-02-28,97904.76
2025-03-01,103825.08
2025-03-02,85287.09
2025-03-03,98621.5
2025-03-04,101723.2
2025-03-05,79304.69
2025-03-06,84023.37
2025-03-07,77286.43
2025-03-08,91551.86
2025-03-09,99550.22
2025-03-10,105927.42
2025-03-11,94595.89
2025-03-12,107122.47
2025-03-13,83138.99
2025-03-14,80634.8
2025-03-15,93895.31
2025-03-16,97485.8
2025-03-17,94221.05
2025-03-18,78008.11
2025-03-19,93895.42
2025-03-20,84229.04
2025-03-21,100074.25
2025-03-22,97697.37
2025-03-23,87288.9
2025-03-24,90735.97
2025-03-25,86407.77
2025-03-26,94410.22
2025-03-27,102578.54
2025-03-28,87072.93
2025-03-29,99008.03
2025-03-30,90746.07
2025-03-31,88653.19
2025-04-01,94143.54
2025-04-02,86717.01
2025-04-03,90564.49
2025-04-04,85400.95
2025-04-05,110687.63
2025-04-06,95233.37
2025-04-07,89330.46
2025-04-08,96612.69
2025-04-09,93970.4
2025-04-10,93065.05
2025-04-11,99705.53
2025-04-12,100807.27
2025-04-13,90453.84
2025-04-14,90037.6
2025-04-15,92385.7
2025-04-16,76108.39
2025-04-17,82335.58
2025-04-18,105321.18
2025-04-19,107470.74
2025-04-20,92239.29
2025-04-21,98760.4
2025-04-22,96550.13
2025-04-23,118599.2
2025-04-24,102828.64
2025-04-25,92748.48
2025-04-26,86023.21
2025-04-27,80707.62
2025-04-28,95074.55
2025-04-29,87279.71
2025-04-30,81832.21
2025-05-01,87913.48
2025-05-02,84305.62
2025-05-03,106323.25
2025-05-04,99743.55
2025-05-05,92487.21
2025-05-06,104247.39
2025-05-07,92879.96
2025-05-08,85220.29
2025-05-09,104141.52
2025-05-10,96110.23
2025-05-11,83339.91
2025-05-12,89950.66
2025-05-13,84300.52
2025-05-14,80071.82
2025-05-15,98369.09
2025-05-16,106057.21
2025-05-17,79412.36
2025-05-18,94920.54
2025-05-19,85024.44
2025-05-20,86142.35
2025-05-21,85107.01
2025-05-22,82738.12
2025-05-23,89839.25
2025-05-24,82601.72
2025-05-25,91208.47
2025-05-26,88435.74
2025-05-27,86716.27
2025-05-28,81155.0
2025-05-29,83586.5
2025-05-30,94026.54
2025-05-31,91771.12
2025-06-01,79721.42
2025-06-02,88112.37
2025-06-03,93102.49
2025-06-04,73507.73
2025-06-05,90979.4
2025-06-06,81099.12
2025-06-07,90730.6
2025-06-08,79823.6
2025-06-09,71252.74
2025-06-10,72431.88
2025-06-11,85595.72
2025-06-12,87046.1
2025-06-13,77489.59
2025-06-14,89587.27
2025-06-15,70939.45
2025-06-16,83454.81
2025-06-17,74045.97
2025-06-18,78268.95
2025-06-19,83611.35
2025-06-20,76096.41
2025-06-21,79649.95
2025-06-22,90522.61
2025-06-23,77602.27
2025-06-24,88647.43
2025-06-25,72668.14
2025-06-26,85687.62
2025-06-27,92724.71
2025-06-28,61161.62
2025-06-29,74301.95
2025-06-30,85035.83
2025-07-01,78536.91
2025-07-02,82872.4
2025-07-03,74813.35
2025-07-04,80080.05
2025-07-05,77884.2
2025-07-06,88214.41
2025-07-07,80650.4
2025-07-08,81059.13
2025-07-09,74807.07
