Branch_Location,Loan_Product,Employment_Status,Credit_Risk_Rating,Loan_Status,Loan_Amount_PHP,Interest_Rate_Annual,Monthly_Income_PHP,Loan_Term_Months,Days_Past_Due,Application_Date,Disbursement_Date
Makati CBD Branch,Salary Loan,OFW Dependent,Low Risk,Restructured,193524.66,20.25,50763.44,24,12,2025-05-17,2025-05-21
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Fully Paid,475850.01,8.88,22529.75,36,35,2025-06-28,2025-07-02
Davao Central Branch,Salary Loan,OFW Dependent,Medium Risk,Restructured,368677.03,8.84,58011.03,18,12,2025-02-04,2025-02-09
Cebu IT Park Branch,Small Business Micro-Loan,Regular,High Risk,Past Due,303342.66,13.52,47677.84,24,11,2025-03-23,2025-03-29
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,High Risk,Past Due,86449.13,16.07,86097.67,18,36,2025-05-13,2025-05-17
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Restructured,86437.31,20.44,78606.82,36,73,2025-05-22,2025-05-24
Makati CBD Branch,Emergency Cash Loan,Regular,High Risk,Active,38460.97,19.09,53282.34,12,72,2025-06-07,2025-06-10
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,High Risk,Active,434426.31,15.41,37878.72,36,51,2025-01-04,2025-01-08
Quezon City Hub,Salary Loan,Contractual,High Risk,Fully Paid,304546.36,12.74,118743.78,6,70,2025-06-16,2025-06-20
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,High Risk,Fully Paid,356955.56,23.96,62670.17,18,1,2025-06-02,2025-06-08
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Active,20086.4,15.11,87268.79,12,55,2025-06-05,2025-06-07
Davao Central Branch,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,485255.83,15.5,29758.06,18,59,2025-05-30,2025-06-02
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Fully Paid,417896.89,11.04,65986.92,18,22,2025-06-08,2025-06-12
Quezon City Hub,OFW Remittance Advance,Contractual,Low Risk,Active,114046.16,20.82,17891.36,24,39,2025-01-23,2025-01-26
Quezon City Hub,Salary Loan,Self-Employed,Medium Risk,Active,99094.23,19.25,68072.79,6,63,2025-02-17,2025-02-22
Davao Central Branch,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,99868.21,11.92,116221.83,18,84,2025-05-28,2025-06-01
Davao Central Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Past Due,159078.7,9.78,55341.7,36,22,2025-05-05,2025-05-09
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,High Risk,Active,267130.65,19.05,19094.58,36,28,2025-06-15,2025-06-20
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Fully Paid,221653.06,18.64,18250.36,24,77,2025-02-24,2025-03-02
Quezon City Hub,Small Business Micro-Loan,Self-Employed,High Risk,Restructured,152702.28,12.74,55738.61,6,89,2025-03-09,2025-03-13
Davao Central Branch,Salary Loan,Regular,Medium Risk,Restructured,309807.92,23.24,31802.62,6,50,2025-03-29,2025-04-01
