Date,Total_Transaction_PHP
2024-01-01,872.35
2024-01-02,945.29
2024-01-03,1065.26
2024-01-04,1158.27
2024-01-05,1092.98
2024-01-08,1064.8
2024-01-09,1081.18
2024-01-10,953.56
2024-01-11,796.47
2024-01-12,747.51
2024-01-15,630.78
2024-01-16,594.47
2024-01-17,631.65
2024-01-18,580.82
2024-01-19,668.69
2024-01-22,820.45
2024-01-23,903.08
2024-01-24,1052.04
2024-01-25,1057.75
2024-01-26,1057.21
2024-01-29,1166.76
2024-01-30,1032.11
2024-01-31,958.26
2024-02-01,790.38
2024-02-02,732.75
2024-02-05,685.03
2024-02-06,584.27
2024-02-07,649.82
2024-02-08,644.28
2024-02-09,731.83
2024-02-12,814.56
2024-02-13,1028.6
2024-02-14,1037.92
2024-02-15,1058.34
2024-02-16,1173.32
2024-02-19,1069.77
2024-02-20,1082.67
2024-02-21,902.68
2024-02-22,831.76
2024-02-23,801.06
2024-02-26,743.02
2024-02-27,666.07
2024-02-28,641.55
2024-02-29,663.58
2024-03-01,678.0
2024-03-04,805.42
2024-03-05,920.69
2024-03-06,1085.67
2024-03-07,1127.21
2024-03-08,1070.81
2024-03-11,1161.58
2024-03-12,1085.69
2024-03-13,995.36
2024-03-14,956.09
2024-03-15,874.24
2024-03-18,782.7
2024-03-19,644.49
2024-03-20,648.38
2024-03-21,699.35
2024-03-22,789.06
2024-03-25,812.84
2024-03-26,928.96
2024-03-27,986.96
2024-03-28,1062.31
2024-03-29,1198.86
2024-04-01,1228.66
2024-04-02,1128.18
2024-04-03,1105.12
2024-04-04,981.74
2024-04-05,835.01
2024-04-08,789.21
2024-04-09,776.94
2024-04-10,677.93
2024-04-11,763.74
2024-04-12,629.05
2024-04-15,868.53
2024-04-16,936.98
2024-04-17,1021.12
2024-04-18,1123.31
2024-04-19,1083.35
2024-04-22,1176.69
2024-04-23,1174.46
2024-04-24,1159.68
2024-04-25,978.76
2024-04-26,864.27
2024-04-29,783.58
2024-04-30,775.89
2024-05-01,713.29
2024-05-02,679.99
2024-05-03,773.08
2024-05-06,833.74
2024-05-07,972.4
2024-05-08,1000.13
2024-05-09,1106.21
2024-05-10,1164.03
2024-05-13,1137.97
2024-05-14,1197.19
2024-05-15,1137.08
2024-05-16,1038.51
2024-05-17,927.0
2024-05-20,776.61
2024-05-21,744.17
2024-05-22,703.7
2024-05-23,679.88
2024-05-24,747.11
2024-05-27,846.2
2024-05-28,1009.58
2024-05-29,1036.17
2024-05-30,1133.18
2024-05-31,1185.64
2024-06-03,1133.02
2024-06-04,1206.57
2024-06-05,1159.05
2024-06-06,1184.77
2024-06-07,965.93
2024-06-10,888.83
2024-06-11,791.28
2024-06-12,688.82
2024-06-13,781.24
2024-06-14,794.02
2024-06-17,863.19
2024-06-18,879.95
2024-06-19,1087.61
2024-06-20,1058.08
2024-06-21,1221.22
2024-06-24,1331.77
2024-06-25,1185.48
2024-06-26,1160.6
2024-06-27,1113.36
2024-06-28,988.97
2024-07-01,841.12
2024-07-02,826.93
2024-07-03,717.52
2024-07-04,766.67
2024-07-05,726.13
2024-07-08,897.97
2024-07-09,882.21
2024-07-10,1005.88
2024-07-11,1156.41
2024-07-12,1143.81
2024-07-15,1255.59
2024-07-16,1309.51
2024-07-17,1142.15
2024-07-18,1151.33
2024-07-19,1060.22
2024-07-22,982.28
2024-07-23,800.35
2024-07-24,731.37
2024-07-25,786.09
2024-07-26,789.75
2024-07-29,841.28
2024-07-30,930.19
2024-07-31,985.52
2024-08-01,1128.09
2024-08-02,1215.43
2024-08-05,1223.71
2024-08-06,1353.6
2024-08-07,1262.78
2024-08-08,1122.62
2024-08-09,1114.69
2024-08-12,939.85
2024-08-13,924.64
2024-08-14,869.89
2024-08-15,744.62
2024-08-16,830.24
2024-08-19,851.62
2024-08-20,949.43
2024-08-21,1097.22
2024-08-22,1103.74
2024-08-23,1170.1
2024-08-26,1224.71
2024-08-27,1250.17
2024-08-28,1263.45
2024-08-29,1223.74
2024-08-30,1133.79
2024-09-02,1057.84
2024-09-03,923.95
2024-09-04,911.57
2024-09-05,790.28
2024-09-06,921.45
2024-09-09,865.58
2024-09-10,872.51
2024-09-11,959.57
2024-09-12,1133.08
2024-09-13,1194.59
2024-09-16,1304.18
2024-09-17,1323.72
2024-09-18,1287.55
2024-09-19,1201.29
2024-09-20,1088.81
2024-09-23,1037.56
2024-09-24,996.86
2024-09-25,885.54
2024-09-26,768.42
2024-09-27,820.67
2024-09-30,860.59
2024-10-01,870.88
2024-10-02,1010.85
2024-10-03,1110.16
2024-10-04,1152.79
2024-10-07,1293.97
2024-10-08,1341.5
2024-10-09,1361.85
2024-10-10,1316.56
2024-10-11,1129.94
2024-10-14,1052.49
2024-10-15,1017.14
2024-10-16,930.03
2024-10-17,871.56
2024-10-18,1001.79
2024-10-21,876.25
2024-10-22,962.38
2024-10-23,1043.45
2024-10-24,1132.74
2024-10-25,1188.68
2024-10-28,1316.41
2024-10-29,1293.64
2024-10-30,1323.09
2024-10-31,1275.7
2024-11-01,1229.77
2024-11-04,1235.75
2024-11-05,946.13
2024-11-06,969.95
2024-11-07,801.28
2024-11-08,824.43
2024-11-11,908.45
2024-11-12,915.96
2024-11-13,949.17
2024-11-14,1066.99
2024-11-15,1231.28
2024-11-18,1252.43
2024-11-19,1348.65
2024-11-20,1354.75
2024-11-21,1295.19
2024-11-22,1355.77
2024-11-25,1196.73
2024-11-26,975.64
2024-11-27,980.67
2024-11-28,871.04
2024-11-29,902.97
2024-12-02,834.28
2024-12-03,910.94
2024-12-04,1018.22
2024-12-05,1133.89
2024-12-06,1143.83
2024-12-09,1272.03
2024-12-10,1326.42
2024-12-11,1340.55
2024-12-12,1429.43
2024-12-13,1309.68
2024-12-16,1147.66
2024-12-17,1144.98
2024-12-18,1101.92
2024-12-19,975.68
2024-12-20,816.87
2024-12-23,860.31
2024-12-24,977.5
2024-12-25,962.29
2024-12-26,1110.79
2024-12-27,1229.29
2024-12-30,1245.99
2024-12-31,1352.44
2025-01-01,1239.63
2025-01-02,1327.79
2025-01-03,1311.09
2025-01-06,1183.89
2025-01-07,1214.17
2025-01-08,977.02
2025-01-09,939.16
2025-01-10,913.42
2025-01-13,960.79
2025-01-14,861.69
2025-01-15,1046.06
2025-01-16,1087.45
2025-01-17,1146.43
2025-01-20,1308.08
2025-01-21,1369.89
2025-01-22,1372.31
2025-01-23,1399.32
2025-01-24,1334.86
2025-01-27,1280.11
2025-01-28,1207.54
2025-01-29,1148.39
2025-01-30,934.27
2025-01-31,1027.43
2025-02-03,823.63
2025-02-04,926.79
2025-02-05,1020.82
2025-02-06,1096.22
2025-02-07,1158.47
2025-02-10,1276.56
2025-02-11,1343.13
2025-02-12,1384.95
2025-02-13,1455.04
2025-02-14,1396.67
2025-02-17,1277.96
2025-02-18,1255.13
2025-02-19,1127.05
2025-02-20,1058.71
2025-02-21,985.24
2025-02-24,891.42
2025-02-25,917.3
2025-02-26,1029.75
2025-02-27,1108.19
2025-02-28,1181.3
2025-03-03,1289.04
2025-03-04,1425.85
2025-03-05,1395.35
2025-03-06,1460.38
2025-03-07,1398.47
2025-03-10,1332.56
2025-03-11,1300.71
2025-03-12,1186.98
2025-03-13,1091.95
2025-03-14,1042.62
2025-03-17,948.62
2025-03-18,983.69
2025-03-19,985.2
2025-03-20,1093.14
2025-03-21,1172.13
2025-03-24,1285.27
2025-03-25,1396.92
2025-03-26,1394.04
2025-03-27,1547.16
2025-03-28,1387.77
2025-03-31,1319.87
2025-04-01,1339.57
2025-04-02,1222.36
2025-04-03,1117.57
2025-04-04,1040.55
2025-04-07,967.75
2025-04-08,924.78
2025-04-09,1006.96
2025-04-10,1046.73
2025-04-11,1217.76
2025-04-14,1270.87
2025-04-15,1333.62
2025-04-16,1423.71
2025-04-17,1487.13
2025-04-18,1431.58
2025-04-21,1368.52
2025-04-22,1334.07
2025-04-23,1234.79
2025-04-24,1101.63
2025-04-25,1020.83
2025-04-28,1001.04
2025-04-29,913.83
2025-04-30,946.03
2025-05-01,1044.44
2025-05-02,1160.44
2025-05-05,1287.65
2025-05-06,1436.73
2025-05-07,1482.59
2025-05-08,1475.19
2025-05-09,1478.38
2025-05-12,1390.15
2025-05-13,1357.22
2025-05-14,1247.82
2025-05-15,1174.6
2025-05-16,1035.8
2025-05-19,1037.87
2025-05-20,1063.51
2025-05-21,1011.79
2025-05-22,1095.48
2025-05-23,1197.7
2025-05-26,1251.5
2025-05-27,1379.07
2025-05-28,1448.94
2025-05-29,1498.93
2025-05-30,1465.08
2025-06-02,1464.77
2025-06-03,1414.61
2025-06-04,1363.01
2025-06-05,1239.45
2025-06-06,1202.08
2025-06-09,1005.44
2025-06-10,1051.04
2025-06-11,1033.82
2025-06-12,1177.72
2025-06-13,1127.41
2025-06-16,1227.51
2025-06-17,1339.84
2025-06-18,1355.84
2025-06-19,1481.37
2025-06-20,1484.66
2025-06-23,1497.4
2025-06-24,1440.79
2025-06-25,1418.75
2025-06-26,1275.66
2025-06-27,1112.44
2025-06-30,1026.51
2025-07-01,1052.87
2025-07-02,976.65
2025-07-03,1164.64
2025-07-04,1214.69
2025-07-07,1239.94
2025-07-08,1286.87
2025-07-09,1514.12
2025-07-10,1508.76
2025-07-11,1591.77
2025-07-14,1444.35
2025-07-15,1430.6
2025-07-16,1370.76
2025-07-17,1271.91
2025-07-18,1152.29
2025-07-21,1123.37
2025-07-22,1003.32
2025-07-23,1041.81
2025-07-24,1092.02
2025-07-25,1183.41
2025-07-28,1288.96
2025-07-29,1309.94
2025-07-30,1384.79
2025-07-31,1578.73
2025-08-01,1566.56
2025-08-04,1506.32
2025-08-05,1558.38
2025-08-06,1411.37
2025-08-07,1359.9
2025-08-08,1210.54
2025-08-11,1217.82
2025-08-12,1152.65
2025-08-13,1050.85
2025-08-14,1136.15
2025-08-15,1188.88
2025-08-18,1314.7
2025-08-19,1313.3
2025-08-20,1484.28
2025-08-21,1574.68
2025-08-22,1486.3
2025-08-25,1509.05
2025-08-26,1426.56
2025-08-27,1428.99
2025-08-28,1376.16
2025-08-29,1310.75
2025-09-01,1159.42
2025-09-02,1170.85
2025-09-03,1015.49
2025-09-04,1023.09
2025-09-05,1157.96
2025-09-08,1266.98
2025-09-09,1351.14
2025-09-10,1359.01
2025-09-11,1527.43
2025-09-12,1518.89
2025-09-15,1613.06
2025-09-16,1563.22
2025-09-17,1432.97
2025-09-18,1357.64
2025-09-19,1231.67
2025-09-22,1185.43
2025-09-23,1166.01
2025-09-24,1050.49
2025-09-25,1131.31
2025-09-26,1138.38
2025-09-29,1211.16
2025-09-30,1343.54
2025-10-01,1403.29
2025-10-02,1509.56
2025-10-03,1534.19
2025-10-06,1690.29
2025-10-07,1575.28
2025-10-08,1476.98
2025-10-09,1427.01
2025-10-10,1310.9
2025-10-13,1211.52
2025-10-14,1177.64
2025-10-15,1147.88
2025-10-16,1095.25
2025-10-17,1139.37
2025-10-20,1232.3
2025-10-21,1240.52
2025-10-22,1378.84
2025-10-23,1597.77
2025-10-24,1671.0
2025-10-27,1607.92
2025-10-28,1625.11
2025-10-29,1554.64
2025-10-30,1592.13
2025-10-31,1403.23
2025-11-03,1249.85
2025-11-04,1135.4
2025-11-05,1062.14
2025-11-06,1140.43
2025-11-07,1135.63
2025-11-10,1179.32
2025-11-11,1310.9
2025-11-12,1394.94
2025-11-13,1612.81
2025-11-14,1643.97
2025-11-17,1634.31
2025-11-18,1689.66
2025-11-19,1575.12
2025-11-20,1450.46
2025-11-21,1458.43
2025-11-24,1314.81
2025-11-25,1161.47
2025-11-26,1148.15
2025-11-27,1105.71
2025-11-28,1113.26
2025-12-01,1284.57
