Fuel_Price_Pesos,Distance_KM,Driver_Wage_Pesos,Fare_Price_Pesos
66.24,34.09,456.29,133.57
83.52,28.25,577.28,134.42
76.96,33.18,512.87,139.22
72.96,31.84,551.71,130.54
59.68,22.94,631.51,118.5
59.68,32.66,499.86,134.27
56.74,7.65,532.08,72.39
80.99,10.88,601.11,85.1
73.03,6.36,495.76,76.91
76.24,14.76,465.4,83.66
55.62,16.66,507.95,92.23
84.1,13.14,482.24,101.55
79.97,29.86,635.94,133.49
61.37,15.7,611.62,91.55
60.45,13.43,576.68,87.08
60.5,21.28,624.29,106.1
64.13,9.23,610.73,71.5
70.74,29.07,487.31,125.67
67.96,7.24,628.51,71.39
63.74,34.61,557.87,142.27
73.36,28.17,611.49,125.74
59.18,10.96,629.22,90.29
63.76,5.17,513.6,60.18
65.99,29.46,472.01,122.05
68.68,26.21,495.59,121.83
78.56,26.87,535.42,119.21
60.99,28.14,613.6,126.56
70.43,7.22,622.15,83.87
72.77,15.75,451.39,83.03
56.39,8.48,552.15,72.28
73.23,30.89,533.48,134.5
60.12,23.7,494.42,111.92
56.95,14.93,473.97,77.61
83.47,6.91,517.52,69.93
83.97,14.33,638.58,103.95
79.25,14.76,514.64,95.81
64.14,26.89,553.76,121.82
57.93,24.13,590.6,114.75
75.53,31.62,522.73,131.99
68.2,19.17,644.36,108.58
58.66,8.59,642.49,78.52
69.86,26.4,500.36,115.38
56.03,27.82,549.45,128.77
82.28,21.84,510.18,115.39
62.76,28.13,506.97,114.82
74.88,19.81,457.38,105.64
64.35,20.68,571.91,101.17
70.6,17.83,550.54,104.27
71.4,5.76,460.3,71.77
60.55,8.24,505.73,65.99
